央视频道,#genre#
CCTV12,http://111.192.0.32:4022/rtp/239.3.1.64:8124,0.6
CCTV12,http://123.112.19.67:8012/rtp/239.3.1.64:8124,0.53
CCTV13,http://221.218.157.61:3527/rtp/239.3.1.124:8128,0.89
CCTV13,http://221.221.167.14:8888/rtp/239.3.1.124:8128,0.66
CCTV13,http://111.193.236.223:4022/rtp/239.3.1.124:8128,0.62
CCTV13,http://111.192.0.32:4022/rtp/239.3.1.124:8128,0.62
CCTV13,http://111.196.75.15:8888/rtp/239.3.1.124:8128,0.54
CCTV13,http://222.129.139.91:8888/rtp/239.3.1.124:8128,0.5
CCTV14,http://221.218.157.61:3527/rtp/239.3.1.65:8132,0.9
CCTV14,http://111.196.75.15:8888/rtp/239.3.1.65:8132,0.87
CCTV14,http://221.221.167.14:8888/rtp/239.3.1.65:8132,0.71
CCTV14,http://111.193.236.223:4022/rtp/239.3.1.65:8132,0.62
CCTV14,http://111.192.0.32:4022/rtp/239.3.1.65:8132,0.5
CCTV14,http://111.193.236.110:8888/rtp/239.3.1.65:8132,0.36
CCTV14,http://123.112.19.67:8012/rtp/239.3.1.65:8132,0.35
CCTV15,http://221.218.157.61:3527/rtp/239.3.1.153:8136,0.88
CCTV15,http://221.221.167.14:8888/rtp/239.3.1.153:8136,0.7
CCTV15,http://111.193.236.223:4022/rtp/239.3.1.153:8136,0.54
CCTV15,http://111.192.0.32:4022/rtp/239.3.1.153:8136,0.52
CCTV15,http://111.196.75.15:8888/rtp/239.3.1.153:8136,0.44
CCTV15,http://123.112.19.67:8012/rtp/239.3.1.153:8136,0.32
CCTV16,http://221.218.157.61:3527/rtp/239.3.1.184:8001,0.8
CCTV16,http://111.196.75.15:8888/rtp/239.3.1.184:8001,0.79
CCTV16,http://221.221.167.14:8888/rtp/239.3.1.184:8001,0.67
CCTV16,http://111.193.236.223:4022/rtp/239.3.1.184:8001,0.62
CCTV16,http://111.192.0.32:4022/rtp/239.3.1.184:8001,0.6
CCTV16,http://222.129.139.91:8888/rtp/239.3.1.184:8001,0.58
CCTV16,http://123.112.19.67:8012/rtp/239.3.1.184:8001,0.32
CCTV17,http://221.218.157.61:3527/rtp/239.3.1.151:8144,0.87
CCTV17,http://221.221.167.14:8888/rtp/239.3.1.151:8144,0.7
CCTV17,http://111.192.0.32:4022/rtp/239.3.1.151:8144,0.5
CCTV17,http://123.112.19.67:8012/rtp/239.3.1.151:8144,0.37

卫视频道,#genre#
东南卫视,http://221.218.157.61:3527/rtp/239.3.1.156:8148,0.89
东南卫视,http://221.221.167.14:8888/rtp/239.3.1.156:8148,0.63
东南卫视,http://111.192.0.32:4022/rtp/239.3.1.156:8148,0.58
东南卫视,http://111.196.75.15:8888/rtp/239.3.1.156:8148,0.54
东方卫视,http://221.218.157.61:3527/rtp/239.3.1.136:8032,0.88
东方卫视,http://111.196.75.15:8888/rtp/239.3.1.136:8032,0.86
